ak_operator_id,pce_utility_code,eia_operator_id,rca_cpcn,operator_name,eia_sector_name,eia_sector_number,operator_rca_regulatory_status_name,operator_utility_type_name,operator_cpcn_status,pce_eligible,power_generation_end_use,notes
AK-OP-125,,18617,,Tesoro Alaska Company LLC,Industrial NAICS Cogen,7.0,,Industrial,,0.0,Consumed by facility,
AK-OP-126,,19553,,Unisea Inc,Industrial NAICS Non-Cogen,6.0,,Industrial,,0.0,Consumed by facility,
AK-OP-127,,19511,452.0,University of Alaska,Commercial NAICS Cogen,4.0,Not Regulated,Industrial,Active,0.0,Consumed by facility,
AK-OP-128,,20523,,Westward Seafoods Inc,Industrial NAICS Cogen,7.0,,Industrial,,0.0,Consumed by facility,
AK-OP-129,,42889,,Alaska Energy Authority,,,,State Government,,0.0,Wholesale,Bradley Lake
AK-OP-130,,17271,100.0,"Sitka, City & Borough of",Electric Utility,1.0,Not Regulated,Public Electric Utility,Active,0.0,Retail,
AK-OP-131,,10210,103.0,Ketchikan Public Utilities,Electric Utility,1.0,Not Regulated,Public Electric Utility,Active,0.0,Retail,
AK-OP-132,,3522,8.0,Chugach Electric Assn Inc,Electric Utility,1.0,Regulated,Electric Co-op,Active,0.0,Retail,
AK-OP-133,,213,1.0,Alaska Electric Light & Power Company,Electric Utility,1.0,Regulated,Private Electric Utility,Active,0.0,Retail,
AK-OP-134,,1276,214.0,Barrow Utilities & Electric Cooperative Inc.,Electric Utility,1.0,Not Regulated,Electric Co-op,Active,0.0,Retail,
AK-OP-135,,21015,111.0,"Wrangell, City of",Electric Utility,1.0,Not Regulated,Public Electric Utility,Active,0.0,Retail,
AK-OP-137,,26754,91.0,Paxson Inn & Lodge,,,Not Regulated,Public Electric Utility,Active,0.0,Retail,
AK-OP-138,KINGCC,9897,289.0,King Cove Corporation,Electric Utility,1.0,Not Regulated,Public Electric Utility,Inactive,0.0,Retail,
AK-OP-139,GOLDCE,56739,341.0,Gold Country Energy,Electric Utility,1.0,Regulated,Private Electric Utility,Active,1.0,Retail,
AK-OP-140,,288,345.0,"Alaska Electric Generation & Transmission Cooperative, Inc.",Electric Utility,1.0,Regulated,Private Electric Utility,Active,0.0,Wholesale,
AK-OP-141,,,523.0,Alaska Industrial Development & Export Authority,Electric Utility,1.0,Not Regulated,State Government,Active,0.0,Wholesale,AIDEA - Healy Clean Coal Plant
AK-OP-142,,,549.0,Alaska Industrial Development & Export Authority,Electric Utility,1.0,Not Regulated,State Government,Active,0.0,Wholesale,Snettisham Hydroelectric Project
AK-OP-143,,,735.0,"Aleutian Wind Energy, LLC",Electric Utility,1.0,Regulated,Independent Power Producer,Active,0.0,Wholesale,TDX subsidiary. Wind farm selling power to Sand Point
AK-OP-144,,219,573.0,"BBL Hydro, INC.",Electric Utility,1.0,Regulated,Subsidiary,Active,0.0,Wholesale,Subsidiary of AP&T . 
AK-OP-145,,,704.0,Chena Power Company,Electric Utility,1.0,Not Regulated,Private Electric Utility,Active,0.0,Consumed by facility,Chena Hot Springs
AK-OP-146,,219,521.0,"Goat Lake Hydro, Inc.",Electric Utility,1.0,Regulated,Subsidiary,Active,0.0,Wholesale,Subsidiary of AP&T . 
AK-OP-147,,,,Ivanof Bay,,,,,,0.0,,
AK-OP-148,,,748.0,Kodiak,Electric Utility,1.0,Not Regulated,Public Electric Utility,Active,0.0,Retail,
AK-OP-149,,,710.0,"Kwaan Electric Transmission Intertie Cooperative, Inc.",Electric Utility,1.0,Regulated,Private Electric Utility,Active,0.0,Retail,Connects to Admiralty Island/Greens Creek Mine
AK-OP-150,,,,"PB Energy, Inc",,,,,,0.0,Consumed by facility,Dry Spruce Bay Hydroelectric near Port Bailey
AK-OP-151,,65807,,"Energy 49, LLC",Commercial NAICS Non-Cogen,,,Independent Power Producer,,0.0,Wholesale,Houston Solar PV
AK-OP-152,,,,"South Fork Hydro, LLC",Commercial NAICS Non-Cogen,,,Independent Power Producer,,0.0,Wholesale,
AK-OP-154,,,,SSRAA,Industrial NAICS Non-Cogen,6.0,,Industrial,Active,0.0,Consumed by facility,
AK-OP-155,,,749.0,TDX St. Paul Wind,Electric Utility,1.0,Regulated,Private Electric Utility,Active,0.0,Wholesale,Wind farm selling power to City of St. Paul
AK-OP-156,,,377.0,Thomas Bay Power Authority,Electric Utility,1.0,Not Regulated,Private Electric Utility,Revoked,0.0,Retail,
AK-OP-157,,,71.0,Weisner Trading Co.,Electric Utility,1.0,Not Regulated,Private Electric Utility,Active,0.0,Retail,Rampart
AK-OP-158,,,59.0,"Weldon S. Holmes, d/b/a Semloh Supply",Electric Utility,1.0,Not Regulated,Private Electric Utility,Active,0.0,Retail,Lake Minchumina
AK-OP-159,,60222,760.0,"Haida Energy, Inc.",Commercial NAICS Non-Cogen,,Regulated,Independent Power Producer,,0.0,Wholesale,Joint Venture of Haida Corporation and AP&T. Supplies power to Prince of Wales
AK-OP-160,,60223,,Ketchikan Electric Company,,,,Subsidiary,,0.0,Wholesale,Joint venture of Ketchikan Public Utilities and AP&T
AK-OP-161,,431,,Alyeska Seafoods Inc,Commercial NAICS Non-Cogen,4.0,,Industrial,,0.0,Consumed by facility,
AK-OP-162,,14313,,Ounalshka Corp,Commercial NAICS Non-Cogen,4.0,,Industrial,,0.0,Consumed by facility,
AK-OP-163,,9183,,Icicle Seafoods Inc,Commercial NAICS Non-Cogen,4.0,,Industrial,,0.0,Consumed by facility,
AK-OP-164,,14956,,Phillips Alaska Inc,Commercial NAICS Non-Cogen,4.0,,Industrial,,0.0,Consumed by facility,
AK-OP-165,,14852,,Peter Pan Seafoods,Commercial NAICS Non-Cogen,4.0,,Industrial,,0.0,Consumed by facility,
AK-OP-166,,1388,,BP Exploration Alaska,Commercial NAICS Non-Cogen,4.0,,Industrial,,0.0,Consumed by facility,
AK-OP-168,,13972,,Offshore Systems Inc,Commercial NAICS Non-Cogen,4.0,,Industrial,,0.0,Consumed by facility,
AK-OP-169,,14811,,Conoco Phillips Alaska Inc,Commercial NAICS Non-Cogen,4.0,,Industrial,,0.0,Consumed by facility,
AK-OP-171,,409,,"Arctic Utilities, Inc",Electric Utility,1.0,Regulated,Private Electric Utility,Inactive,0.0,Consumed by facility,
AK-OP-172,,18877,,City of Thorne Bay,Electric Utility,1.0,,Public Electric Utility,,0.0,Retail,
AK-OP-173,,13880,,"NUI Energy Brokers, Inc",,,,,,0.0,,
AK-OP-174,,22200,,U S Army-Ft Wainwright,Commercial NAICS Cogen,5.0,,Military,,0.0,Consumed by facility,
AK-OP-175,,,780.0,Municipality of Anchorage d/b/a Anchorage Hydropower ,Commercial NAICS Non-Cogen,4.0,Regulated,Independent Power Producer,Active,0.0,Wholesale,Operates Eklutna Hydro
AK-OP-181,,,785.0,"Gustavus Utility Service, Inc.",Commercial NAICS Non-Cogen,4.0,Regulated,Subsidiary,Active,0.0,Wholesale,Wholly owned subsidiary of AP&T. Provdes hydropower to Gustavus
AK-OP-177,,,,"Ram Valley, LLC",Commercial NAICS Non-Cogen,4.0,,Independent Power Producer,,0.0,Wholesale,
AK-OP-178,,,,Noatak IPP,Commercial NAICS Non-Cogen,4.0,,Independent Power Producer,,0.0,Wholesale,Unsure if name is correct
AK-OP-179,,,,Shungnak Kobuk IPP,Commercial NAICS Non-Cogen,4.0,,Independent Power Producer,,0.0,Wholesale,Unsure if name is correct
AK-OP-180,,,,"Sustainable Energy for Galena, Alaska",,,,Independent Power Producer,,0.0,,"Not operational. Joint Venture of Louden Tribal Council, Galena City Council, and Galena City School District "
AK-OP-182,,,781.0,"Ounalashka Chena Power, LLC",,,,Independent Power Producer,Active,0.0,,Not operational
AK-OP-183,,60349,,"Juneau Hydropower, Inc",,,,Independent Power Producer,,0.0,,Not operational
AK-OP-176,,,,Alaska Renewable Energy Partners,,,,,,0.0,,Not operational
AK-OP-184,,,,"Banner Wind, LLC",Commercial NAICS Non-Cogen,4.0,,Independent Power Producer,,0.0,Wholesale,Sold to Nome Joint Utilities
AK-OP-185,,,,"Enerdyne, LLC",,,,Independent Power Producer,,0.0,,
AK-OP-186,,,,Minchumina Power Company,,,,Private Electric Utility,,,,
