sales_reporting_id,reporting_name,operator_ak_operator_id,eia_operator_id,pce_reporting_id,rca_cpcn,operator_operator_name,intertie_current_intertie_id,intertie_current_intertie_name,index_community,gnis_feature_id,latitude,longitude,aea_energy_region,communities_reported,notes
SR-108,Manley Hot Springs,AK-OP-055,11591,332200.0,264,Manley Utilities,188-0000,Manley Hot Springs_grid,Manley Hot Springs,1405922.0,65.0011111,-150.6338889,Yukon-Koyukuk/Upper Tanana,Manley Hot Springs,
SR-109,Manokotak,AK-OP-056,26317,332210.0,321,Manokotak Power Company,142-0000,Manokotak_grid,Manokotak,1405927.0,58.9813889,-159.0583333,Bristol Bay,Manokotak,
SR-11,Adak,AK-OP-088, ,331005.0,684,TDX Adak Generating LLC,186-0000,Adak_grid,Adak,1418109.0,51.88,-176.6580556,Aleutians,Adak,
SR-110,Marshall,AK-OP-006,221,331440.0,169,Alaska Village Electric Cooperative,061-0000,Marshall_grid,Marshall,1405984.0,61.8777778,-162.0811111,Lower Yukon-Kuskokwim,Marshall,
SR-111,McGrath,AK-OP-057,12119,332220.0,44,Mcgrath Light & Power,143-0000,McGrath_grid,McGrath,1406131.0,62.9563889,-155.5958333,Yukon-Koyukuk/Upper Tanana,McGrath,
SR-112,Mekoryuk,AK-OP-006,221,331450.0,169,Alaska Village Electric Cooperative,062-0000,Mekoryuk_grid,Mekoryuk,1406211.0,60.3880556,-166.185,Lower Yukon-Kuskokwim,Mekoryuk,
SR-113,Mentasta Lake,AK-OP-005,219,331160.0,2,Alaska Power & Telephone Company,026-2012,Slana_grid,Mentasta Lake,1406241.0,62.9211111,-143.7691667,Copper River/Chugach,Mentasta Lake,
SR-114,Minto,AK-OP-006,221,331460.0,169,Alaska Village Electric Cooperative,063-0000,Minto_grid,Minto,1406419.0,65.150411,-149.349708,Yukon-Koyukuk/Upper Tanana,Minto,
SR-115,Mountain Village,AK-OP-006,221,331470.0,169,Alaska Village Electric Cooperative,075-2020,Mountain Village_grid,Mountain Village,1406655.0,62.0855556,-163.7294444,Lower Yukon-Kuskokwim,Mountain Village,
SR-116,"Naknek, South Naknek, King Salmon",AK-OP-059,13201,332280.0,22,Naknek Electric Association,150-0000,Naknek_grid,Naknek,1406798.0,58.7283333,-157.0138889,Bristol Bay,"Naknek, South Naknek, King Salmon",
SR-117,Napakiak,AK-OP-060,13211,332290.0,319,Napakiak Ircinraq,034-1988,Bethel_grid,Napakiak,1406829.0,60.6966667,-161.9519444,Lower Yukon-Kuskokwim,Napakiak,
SR-118,Napaskiak,AK-OP-061, ,332300.0,625,Napaskiak Electric Utility,153-0000,Napaskiak_grid,Napaskiak,1406834.0,60.7080556,-161.7661111,Lower Yukon-Kuskokwim,Napaskiak,
SR-119,Naukati Bay,AK-OP-005,219,331170.0,2,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Naukati Bay,1866964.0,55.8736111,-133.1847222,Southeast,Naukati Bay,
SR-12,Akhiok,AK-OP-001, ,331010.0,449,"Akhiok, City of",001-0000,Akhiok_grid,Akhiok,1398007.0,56.9455556,-154.1702778,Kodiak,Akhiok,
SR-120,Nelson Lagoon,AK-OP-063,13477,332320.0,340,Nelson Lagoon Electrical Coop,156-0000,Nelson Lagoon_grid,Nelson Lagoon,1418948.0,56.0006152,-161.206974,Aleutians,Nelson Lagoon,
SR-121,New Stuyahok,AK-OP-006,221,331480.0,169,Alaska Village Electric Cooperative,065-2016,New_Stuyahok_grid,New Stuyahok,1406972.0,59.4527778,-157.3119444,Bristol Bay,New Stuyahok,
SR-122,Newtok,AK-OP-099, ,332870.0,375,Ungusraq Power Company,196-0000,Newtok_grid,Newtok,1406985.0,60.9427778,-164.6294444,Lower Yukon-Kuskokwim,Newtok,
SR-123,Nightmute,AK-OP-006,221,331490.0,169,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,Nightmute,1407008.0,60.4794444,-164.7238889,Lower Yukon-Kuskokwim,Nightmute,
SR-124,Nikolai,AK-OP-065, ,332330.0,416,"Nikolai, City of",158-0000,Nikolai_grid,Nikolai,1407022.0,63.0133333,-154.375,Yukon-Koyukuk/Upper Tanana,Nikolai,
SR-125,Nikolski,AK-OP-096, ,332740.0,242,Umnak Power Company,193-0000,Nikolski_grid,Nikolski,1418954.0,52.9380556,-168.8677778,Aleutians,Nikolski,
SR-126,Noatak,AK-OP-006,221,331500.0,169,Alaska Village Electric Cooperative,066-0000,Noatak_grid,Noatak,1413638.0,67.5711111,-162.9652778,Northwest Arctic,Noatak,
SR-127,Nome,AK-OP-066,13642,332340.0,150,Nome Joint Utility Systems,159-0000,Nome_grid,Nome,1407125.0,64.5011111,-165.4063889,Bering Straits,Nome,
SR-128,Noorvik,AK-OP-006,221,331510.0,169,Alaska Village Electric Cooperative,067-0000,Noorvik_grid,Noorvik,1413646.0,66.8383333,-161.0327778,Northwest Arctic,Noorvik,
SR-129,"Northway, Northway Village, Northway Junction",AK-OP-005,219,331180.0,2,Alaska Power & Telephone Company,012-0000,Northway_grid,Northway,1407253.0,62.9616667,-141.9372222,Yukon-Koyukuk/Upper Tanana,"Northway, Northway Village, Northway Junction",
SR-13,Akiachak,AK-OP-003,192,331020.0,412,Akiachak Native Community,002-0000,Akiachak_grid,Akiachak,1398011.0,60.9094444,-161.4313889,Lower Yukon-Kuskokwim,Akiachak,
SR-130,Nuiqsut,AK-OP-067,26616,332380.0,254,North Slope Borough Power & Light,163-0000,Nuiqsut_grid,Nuiqsut,1416680.0,70.2175,-150.9763889,North Slope,Nuiqsut,
SR-131,Nulato,AK-OP-006,221,331520.0,169,Alaska Village Electric Cooperative,068-0000,Nulato_grid,Nulato,1407321.0,64.7194444,-158.1030556,Yukon-Koyukuk/Upper Tanana,Nulato,
SR-132,Nunam Iqua,AK-OP-068, ,332420.0,408,Nunam Iqua Electric Company,167-0000,Nunam Iqua_grid,Nunam Iqua,1409405.0,62.5336111,-164.8411111,Lower Yukon-Kuskokwim,Nunam Iqua,
SR-133,Nunapitchuk,AK-OP-006,221,331530.0,169,Alaska Village Electric Cooperative,055-2006,Kasigluk_grid,Nunapitchuk,1407339.0,60.8969444,-162.4594444,Lower Yukon-Kuskokwim,Nunapitchuk,
SR-134,Old Harbor,AK-OP-006,221,331540.0,169,Alaska Village Electric Cooperative,069-0000,Old Harbor_grid,Old Harbor,1407483.0,57.2027778,-153.3038889,Kodiak,Old Harbor,
SR-135,Ouzinkie,AK-OP-070,14234,332440.0,357,"Ouzinkie, City of",170-0000,Ouzinkie_grid,Ouzinkie,1407684.0,57.9236111,-152.5022222,Kodiak,Ouzinkie,
SR-136,Pedro Bay,AK-OP-071,14633,332450.0,662,Pedro Bay Village Council,171-0000,Pedro Bay_grid,Pedro Bay,1407862.0,59.7872222,-154.1061111,Bristol Bay,Pedro Bay,
SR-137,Pelican,AK-OP-072,29297,332460.0,24,Pelican Utility,172-0000,Pelican_grid,Pelican,1424201.0,57.9608333,-136.2275,Southeast,Pelican,
SR-138,Perryville,AK-OP-073,14832,332470.0,659,Native Village of Perryville,155-0000,Perryville_grid,Perryville,1407902.0,55.9139846,-159.1632767,Bristol Bay,Perryville,
SR-139,Pilot Point,AK-OP-074, ,332480.0,425,Pilot Point Electric Utility,173-0000,Pilot Point_grid,Pilot Point,1407992.0,57.5641667,-157.5791667,Bristol Bay,Pilot Point,
SR-14,Akiak,AK-OP-002, ,331030.0,635,Akiak City Council,003-0000,Akiak_grid,Akiak,1398012.0,60.9122222,-161.2138889,Lower Yukon-Kuskokwim,Akiak,
SR-140,Pilot Station,AK-OP-006,221,331550.0,169,Alaska Village Electric Cooperative,070-0000,Pilot Station_grid,Pilot Station,1407993.0,61.9388889,-162.875,Lower Yukon-Kuskokwim,Pilot Station,
SR-141,Pitkas Point,AK-OP-006,221,331560.0,169,Alaska Village Electric Cooperative,075-1985,Saint Mary's_grid,Pitkas Point,1408054.0,62.0327778,-163.2877778,Lower Yukon-Kuskokwim,Pitkas Point,
SR-142,Platinum,AK-OP-075, ,332490.0,0,"Platinum, City of",174-0000,Platinum_grid,Platinum,1408072.0,59.0130556,-161.8163889,Lower Yukon-Kuskokwim,Platinum,
SR-143,Point Hope,AK-OP-067,26616,332390.0,254,North Slope Borough Power & Light,164-0000,Point Hope_grid,Point Hope,1408110.0,68.3486111,-166.7347222,North Slope,Point Hope,
SR-144,Point Lay,AK-OP-067,26616,332400.0,254,North Slope Borough Power & Light,165-0000,Point Lay_grid,Point Lay,1408115.0,69.743857,-163.008442,North Slope,Point Lay,
SR-145,Port Alsworth,AK-OP-085, ,332590.0,447,Tanalian Electric Cooperative,183-0000,Port Alsworth_grid,Port Alsworth,1408208.0,60.2025,-154.3127778,Bristol Bay,Port Alsworth,
SR-146,Port Heiden,AK-OP-077, ,332500.0,399,Port Heiden Utilities,175-0000,Port Heiden_grid,Port Heiden,1419072.0,56.9325614,-158.6249699,Bristol Bay,Port Heiden,
SR-147,Quinhagak,AK-OP-006,221,331570.0,169,Alaska Village Electric Cooperative,071-0000,Quinhagak_grid,Quinhagak,1408462.0,59.7488889,-161.9158333,Lower Yukon-Kuskokwim,Quinhagak,
SR-148,Rampart,AK-OP-079, ,332520.0,759,Rampart Village Council,177-0000,Rampart_grid,Rampart,1408519.0,65.505,-150.17,Yukon-Koyukuk/Upper Tanana,Rampart,
SR-149,Red Devil,AK-OP-058,12485,332250.0,343,Middle Kuskokwim Electric,146-0000,Red Devil_grid,Red Devil,1408580.0,61.7611111,-157.3125,Lower Yukon-Kuskokwim,Red Devil,
SR-15,Akutan,AK-OP-004,24486,331040.0,293,"Akutan, City of",004-0000,Akutan_grid,Akutan,1418123.0,54.1355556,-165.7730556,Aleutians,Akutan,
SR-150,Ruby,AK-OP-080, ,332530.0,364,"Ruby, City of",178-0000,Ruby_grid,Ruby,1408878.0,64.7394444,-155.4869444,Yukon-Koyukuk/Upper Tanana,Ruby,
SR-151,Russian Mission,AK-OP-006,221,331580.0,169,Alaska Village Electric Cooperative,072-0000,Russian Mission_grid,Russian Mission,1408925.0,61.785,-161.3202778,Lower Yukon-Kuskokwim,Russian Mission,
SR-152,Saint George,AK-OP-082, ,332550.0,410,"Saint George, City of",179-0000,Saint George_grid,Saint George,1419161.0,56.6,-169.5416667,Aleutians,Saint George,
SR-153,"Saint Mary's, Andreafsky",AK-OP-006,221,331660.0,169,Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,Saint Mary's,1398261.0,62.0530556,-163.1658333,Lower Yukon-Kuskokwim,"Saint Mary's, Andreafsky",
SR-154,Saint Michael,AK-OP-006,221,331670.0,169,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,Saint Michael,1408977.0,63.4780556,-162.0391667,Bering Straits,Saint Michael,
SR-155,Saint Paul,AK-OP-083,17898,332560.0,339,Saint Paul Municipal Electric,180-0000,Saint Paul_grid,Saint Paul,1419163.0,57.1222222,-170.275,Aleutians,Saint Paul,
SR-156,Sand Point,AK-OP-155,,332540.0,749,TDX Corporation,187-0000,Sand Point_grid,Sand Point,1419182.0,55.3397222,-160.4972222,Aleutians,Sand Point,
SR-157,Savoonga,AK-OP-006,221,331590.0,169,Alaska Village Electric Cooperative,076-0000,Savoonga_grid,Savoonga,1409106.0,63.6941667,-170.4788889,Bering Straits,Savoonga,
SR-158,Scammon Bay,AK-OP-006,221,331600.0,169,Alaska Village Electric Cooperative,077-0000,Scammon Bay_grid,Scammon Bay,1409133.0,61.8427778,-165.5816667,Lower Yukon-Kuskokwim,Scammon Bay,
SR-159,Selawik,AK-OP-006,221,331610.0,169,Alaska Village Electric Cooperative,078-0000,Selawik_grid,Selawik,1413930.0,66.6038889,-160.0069444,Northwest Arctic,Selawik,
SR-16,Alakanuk,AK-OP-006,221,331240.0,169,Alaska Village Electric Cooperative,045-2016,Emmonak_grid,Alakanuk,1398042.0,62.6888889,-164.6152778,Lower Yukon-Kuskokwim,Alakanuk,
SR-160,Shageluk,AK-OP-006,221,331620.0,169,Alaska Village Electric Cooperative,079-0000,Shageluk_grid,Shageluk,1409306.0,62.6822222,-159.5619444,Yukon-Koyukuk/Upper Tanana,Shageluk,
SR-161,Shaktoolik,AK-OP-006,221,331630.0,169,Alaska Village Electric Cooperative,080-0000,Shaktoolik_grid,Shaktoolik,1669434.0,64.3338889,-161.1538889,Bering Straits,Shaktoolik,
SR-162,Shishmaref,AK-OP-006,221,331640.0,169,Alaska Village Electric Cooperative,081-0000,Shishmaref_grid,Shishmaref,1409434.0,66.2566667,-166.0719444,Bering Straits,Shishmaref,
SR-163,Shungnak,AK-OP-006,221,331650.0,169,Alaska Village Electric Cooperative,149-1980,Shungnak_grid,Shungnak,1413983.0,66.8880556,-157.1363889,Northwest Arctic,Shungnak,
SR-164,Skagway,AK-OP-005,219,331190.0,2,Alaska Power & Telephone Company,032-1998,Haines_grid,Skagway,1414754.0,59.4583333,-135.3138889,Southeast,Skagway,
SR-165,Slana,AK-OP-005,219,331195.0,2,Alaska Power & Telephone Company,026-2010,Slana_grid,Slana,1409698.0,62.7069444,-143.9611111,Copper River/Chugach,Slana,
SR-166,Sleetmute,AK-OP-058,12485,332260.0,343,Middle Kuskokwim Electric,147-0000,Sleetmute_grid,Sleetmute,1409747.0,61.7025,-157.1697222,Lower Yukon-Kuskokwim,Sleetmute,
SR-167,Stebbins,AK-OP-006,221,331680.0,169,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,Stebbins,1410158.0,63.5222222,-162.2880556,Bering Straits,Stebbins,
SR-168,Stevens Village,AK-OP-081, ,332570.0,709,Stevens Village Ira Council,181-0000,Stevens Village_grid,Stevens Village,1410198.0,66.0063889,-149.0908333,Yukon-Koyukuk/Upper Tanana,Stevens Village,
SR-169,Stony River,AK-OP-058,12485,332270.0,343,Middle Kuskokwim Electric,148-0000,Stony River_grid,Stony River,1410241.0,61.7830556,-156.5880556,Lower Yukon-Kuskokwim,Stony River,
SR-17,"Allakaket, Alatna",AK-OP-005,219,331050.0,2,Alaska Power & Telephone Company,005-0000,Allakaket_grid,Allakaket,1398129.0,66.5655556,-152.6455556,Yukon-Koyukuk/Upper Tanana,"Allakaket, Alatna",
SR-170,Takotna,AK-OP-084, ,332580.0,394,Takotna Community Assoc Inc,182-0000,Takotna_grid,Takotna,1410562.0,62.9886111,-156.0641667,Yukon-Koyukuk/Upper Tanana,Takotna,
SR-171,Tanana,AK-OP-086,18474,332600.0,92,Tanana Power Company Inc,184-0000,Tanana_grid,Tanana,1410629.0,65.1719444,-152.0788889,Yukon-Koyukuk/Upper Tanana,Tanana,
SR-172,Tatitlek,AK-OP-087,18480,332610.0,586,Tatitlek Village Ira Council,185-0000,Tatitlek_grid,Tatitlek,1415193.0,60.8647222,-146.6786111,Copper River/Chugach,Tatitlek,
SR-173,Teller,AK-OP-091,18521,331685.0,61,Teller Power Company,085-0000,Teller_grid,Teller,1410730.0,65.2636111,-166.3608333,Bering Straits,Teller,
SR-173,Teller,AK-OP-091,18521,332620.0,61,Teller Power Company,085-0000,Teller_grid,Teller,1410730.0,65.2636111,-166.3608333,Bering Straits,Teller,
SR-174,Tenakee Springs,AK-OP-092,18541,332630.0,363,"Tenakee Springs, City of",189-0000,Tenakee Springs_grid,Tenakee Springs,1415210.0,57.7808333,-135.2188889,Southeast,Tenakee Springs,
SR-175,Tetlin,AK-OP-005,219,331200.0,2,Alaska Power & Telephone Company,015-2008,Tok_grid,Tetlin,1410765.0,63.1350512,-142.5238796,Yukon-Koyukuk/Upper Tanana,Tetlin,
SR-176,"Thorne Bay, Kasaan",AK-OP-005,219,331210.0,2,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Thorne Bay,1669435.0,55.6877778,-132.5222222,Southeast,"Thorne Bay, Kasaan",
SR-176,"Thorne Bay, City of ",AK-OP-172,18877,331210.0,0,"Thorne Bay, City of ",,ThorneBay_grid,Thorne Bay,1669435.0,55.6877778,-132.5222222,Southeast,Thorne Bay,
SR-177,Togiak,AK-OP-006,221,331690.0,169,Alaska Village Electric Cooperative,086-0000,Togiak_grid,Togiak,1411039.0,59.0619444,-160.3763889,Bristol Bay,Togiak,
SR-178,"Tok, Tanacross",AK-OP-005,219,331220.0,2,Alaska Power & Telephone Company,015-2008,Tok_grid,Tok,1411046.0,63.3366667,-142.9855556,Yukon-Koyukuk/Upper Tanana,"Tok, Tanacross",
SR-179,Toksook Bay,AK-OP-006,221,331700.0,169,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,Toksook Bay,1411060.0,60.5337752,-165.1036627,Lower Yukon-Kuskokwim,Toksook Bay,
SR-18,Ambler,AK-OP-006,221,331250.0,169,Alaska Village Electric Cooperative,035-0000,Ambler_grid,Ambler,1412509.0,67.0861111,-157.8513889,Northwest Arctic,Ambler,
SR-180,Tuluksak,AK-OP-093, ,332710.0,664,Tuluksak Traditional,190-0000,Tuluksak_grid,Tuluksak,1411295.0,61.1025,-160.9616667,Lower Yukon-Kuskokwim,Tuluksak,
SR-181,Tuntutuliak,AK-OP-094,19267,332720.0,344,Tuntutuliak Community,191-0000,Tuntutuliak_grid,Tuntutuliak,1411324.0,60.3430556,-162.6630556,Lower Yukon-Kuskokwim,Tuntutuliak,
SR-182,Tununak,AK-OP-006,221,331710.0,169,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,Tununak,1410644.0,60.5855556,-165.2558333,Lower Yukon-Kuskokwim,Tununak,
SR-183,Twin Hills,AK-OP-095, ,332730.0,729,Twin Hills Village Council,192-0000,Twin Hills_grid,Twin Hills,1416737.0,59.0791667,-160.275,Bristol Bay,Twin Hills,Sold to AVEC 9/20223
SR-184,Unalakleet,AK-OP-098,40548,332850.0,741,Unalakleet Valley Electric Cooperative,194-0000,Unalakleet_grid,Unalakleet,1411517.0,63.8730556,-160.7880556,Bering Straits,Unalakleet,
SR-185,Unalaska,AK-OP-097,19454,332860.0,106,"Unalaska, City of",195-0000,Unalaska_grid,Unalaska,1419424.0,53.8736111,-166.5366667,Aleutians,Unalaska,
SR-186,Venetie,AK-OP-100, ,332880.0,663,Venetie Village Electric,197-0000,Venetie_grid,Venetie,1411644.0,67.0138889,-146.4186111,Yukon-Koyukuk/Upper Tanana,Venetie,
SR-187,Wainwright,AK-OP-067,26616,332410.0,254,North Slope Borough Power & Light,166-0000,Wainwright_grid,Wainwright,1411728.0,70.6369444,-160.0383333,North Slope,Wainwright,
SR-188,Wales,AK-OP-006,221,331730.0,169,Alaska Village Electric Cooperative,090-0000,Wales_grid,Wales,1404755.0,65.6091667,-168.0875,Bering Straits,Wales,
SR-189,Whale Pass,AK-OP-005,219,331230.0,2,Alaska Power & Telephone Company,213-0000,Whale_Pass_grid,Whale Pass,1744590.0,56.1152778,-133.1208333,Southeast,Whale Pass,
SR-19,Anaktuvuk Pass,AK-OP-067,26616,332350.0,254,North Slope Borough Power & Light,160-0000,Anaktuvuk Pass_grid,Anaktuvuk Pass,1398235.0,68.1433333,-151.7358333,North Slope,Anaktuvuk Pass,
SR-190,White Mountain,AK-OP-101,20535,332890.0,409,"White Mountain, City of",198-0000,WhiteMountain_grid,White Mountain,1411989.0,64.6813889,-163.4055556,Bering Straits,White Mountain,
SR-191,Yakutat,AK-OP-102,30150,332900.0,53,Yakutat Power Inc,091-0000,Yakutat_grid,Yakutat,1415858.0,59.5469444,-139.7272222,Southeast,Yakutat,
SR-192,"Copper Valley Elec Assn, Inc",AK-OP-103,4329,,10,"Copper Valley Elec Assn, Inc",216-0000,CopperValley_grid,Valdez,1412465.0,61.1308333,-146.3483333,Copper River/Chugach,"In addition to Valdez, the CVEA service area includes 14 other communities.",
SR-193,"Sitka, City & Borough of",AK-OP-130,17271,,100,"Sitka, City & Borough of",219-0000,Sitka_grid,Sitka,1414736.0,57.0530556,-135.33,Southeast,Sitka,
SR-194,Barrow Utilities & Electric Cooperative Inc.,AK-OP-134,1276,,214,Barrow Utilities & Electric Cooperative Inc.,221-0000,Utqiagvik_grid,Utqiagvik,1398635.0,71.2905556,-156.7886111,North Slope,Utqiagvik,
SR-195,Metlakatla Power & Light,AK-OP-108,12385,,0,Metlakatla Power & Light,225_0000,Metlakatla_grid,Metlakatla,1423661.0,55.1291667,-131.5722222,Southeast,Metlakatla,
SR-197,"Arctic Utilities, Inc",AK-OP-171,409,,0,TNSG,224_0000,Deadhorse_grid,Deadhorse,1866941.0,70.2055556,-148.5116667,North Slope,Deadhorse,
SR-198,"Petersburg, City of ",AK-OP-110,14856,,212,"Petersburg, City of ",217-2009,SEAPA_grid,Petersburg,1424228.0,56.8112667,-132.9512425,Southeast,Petersburg,
SR-199,"Seward, City of ",AK-OP-111,16955,,108,"Seward, City of ",215-1985,Railbelt_grid,Seward,1414598.0,60.1041667,-149.4422222,Railbelt,"The City of Seward service area includes the communities of Crown Point, Primrose, Bear Creek and Lowell Point.",
SR-2,Anchorage Mun Light and Power,AK-OP-109,599,,121,Anchorage Mun Light and Power,215-1985,Railbelt_grid,Anchorage,1398242.0,61.2180556,-149.9002778,Railbelt,Anchorage,
SR-20,Angoon,AK-OP-041,18963,332650.0,240,Inside Passage Electric,125-0000,Angoon_grid,Angoon,1420113.0,57.5033333,-134.5838889,Southeast,Angoon,
SR-200,"Wrangell, City of ",AK-OP-135,21015,,111,"Wrangell, City of ",217-2009,SEAPA_grid,Wrangell,1415843.0,56.4708333,-132.3766667,Southeast,Wrangell,
SR-201,U S Air Force-Eielson AFB,AK-OP-120,22199,,0,,215-1985,Railbelt_grid,Eielson AFB,2418568.0,64.6632652,-147.05442,Railbelt,U S Air Force-Eielson AFB,
SR-202,Manley Hot Springs,AK-OP-090,56503,332200.0,72,TDX Manley Generating LLC,188-0000,Manley Hot Springs_grid,Manley Hot Springs,1405922.0,65.0011111,-150.6338889,Yukon-Koyukuk/Upper Tanana,Manley Hot Springs,
SR-204,Alaska Electric G & T Coop Inc,AK-OP-140,288,,345,Alaska Electric G & T Coop Inc,215-1985,Railbelt_grid,,,,,Railbelt,,
SR-205,Alaska Energy Authority,AK-OP-129,42889,,0,Alaska Energy Authority,215-1985,Railbelt_grid,,,,,Railbelt,Alaska Energy Authority,
SR-206,Alyeska Seafoods Inc,AK-OP-161,431,,0,Alyeska Seafoods Inc,,,,,,,,,
SR-207,"NUI Energy Brokers, Inc",AK-OP-173,13880,,0,"NUI Energy Brokers, Inc",,,,,,,,,
SR-208,U S Army-Ft Wainwright,AK-OP-174,22200,,0,U S Army-Ft Wainwright,215-1985,Railbelt_grid,,,,,Railbelt,U S Army-Ft Wainwright,
SR-209,Unisea Inc,AK-OP-126,19553,,0,Unisea Inc,,,,,,,,,
SR-21,Aniak,AK-OP-009,4959,331760.0,5,Aniak Light & Power,093-0000,Aniak_grid,Aniak,1398286.0,61.5783333,-159.5222222,Lower Yukon-Kuskokwim,Aniak,
SR-210,University of Alaska,AK-OP-127,19511,,452,University of Alaska,215-1985,Railbelt_grid,,,,,Railbelt,University of Alaska,
SR-211,Alaska Electric & Energy Coop,AK-OP-112,49803,,640,Alaska Electric & Energy Coop,215-1985,Railbelt_grid,,,,,Railbelt,Subsidiary of Homer Electric Association,
SR-212,Southeast Alaska Power Agency,AK-OP-124,60770,,0,Southeast Alaska Power Agency,217-2009,SEAPA_grid,,,,,Southeast,"Provides power to Ketchikan, Wrangell, Petersburg",
SR-22,Anvik,AK-OP-006,221,331260.0,169,Alaska Village Electric Cooperative,036-0000,Anvik_grid,Anvik,1398335.0,62.6561111,-160.2066667,Yukon-Koyukuk/Upper Tanana,Anvik,
SR-23,Arctic Village,AK-OP-010, ,331770.0,747,Arctic Village Electric Company,094-0000,Arctic Village_grid,Arctic Village,1398382.0,68.1269444,-145.5377778,Yukon-Koyukuk/Upper Tanana,Arctic Village,
SR-24,Atka,AK-OP-011,56256,331750.0,291,"Atka, City of",095-0000,Atka_grid,Atka,1418170.0,52.1961111,-174.2005556,Aleutians,Atka,
SR-24,Atka,AK-OP-008,653,331750.0,291,Andreanof Electric Corp,095-0000,Atka_grid,Atka,1418170.0,52.1961111,-174.2005556,Aleutians,Atka,
SR-25,Atmautluak,AK-OP-012,878,331780.0,337,Atmautluak Tribal Utilities,096-0000,Atmautluak_grid,Atmautluak,1699811.0,60.8669444,-162.2730556,Lower Yukon-Kuskokwim,Atmautluak,
SR-26,Atqasuk,AK-OP-067,26616,332360.0,254,North Slope Borough Power & Light,161-0000,Atqasuk_grid,Atqasuk,1406178.0,70.4691667,-157.3994444,North Slope,Atqasuk,
SR-27,Beaver,AK-OP-013, ,331790.0,420,Beaver Joint Utilities,097-0000,Beaver_grid,Beaver,1398776.0,66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,Beaver,
SR-28,"Bethel, Oscarville",AK-OP-014,1651,331800.0,43,Bethel Utilities Corp,034-1988,Bethel_grid,Bethel,1398908.0,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,"Bethel, Oscarville",
SR-29,"Bettles, Evansville",AK-OP-005,219,331060.0,2,Alaska Power & Telephone Company,007-0000,Bettles_grid,Bettles,1926949.0,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,"Bettles, Evansville",
SR-3,Chugach Electric Assn Inc,AK-OP-132,3522,,8,Chugach Electric Assn Inc,215-1985,Railbelt_grid,Anchorage,1398242.0,61.2180556,-149.9002778,Railbelt,"In addition to Anchorage, the CEA service area includes eight other communities.",
